Temperature,Humidity,Moisture,Soil_pH,Electrical_Conductivity,Organic_Carbon,Nitrogen,Phosphorus,Potassium,Sulfur,Zinc,Iron,Soil_Type,Crop_Type,Soil_Health_Score,Soil_Health_Category,Recommended_Fertilizer,Fertilizer_Amount_kg_per_acre,Recommendation_Reason
34.38,33.23,58,6.33,0.28,0.98,352,44,286,10.02,1.47,6.8,Red,Wheat,86,Excellent,Compost,500,Maintain soil organic matter.
34.43,31.82,45,7.56,0.55,0.74,276,16,133,13.41,1.34,3.73,Clay,Potato,79,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
26.69,64.41,24,5.12,2.95,0.12,72,17,111,6.23,1.26,7.34,Laterite,Sugarcane,55,Poor,DAP,150,Improve deficient nutrients.
32.71,78.65,20,5.47,2.22,0.21,143,12,55,10.63,1.57,7.13,Loamy,Wheat,35,Poor,Urea,150,Improve deficient nutrients.
32.36,45.62,49,7.27,1.15,0.87,292,25,120,15.0,0.77,9.16,Red,Potato,72,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
19.66,67.49,51,7.19,0.66,1.4,376,44,192,22.26,1.1,2.9,Clay,Groundnut,84,Excellent,Compost,500,Maintain soil organic matter.
34.82,30.66,28,8.56,2.76,0.47,65,5,73,6.45,0.7,9.28,Red,Cotton,24,Poor,MOP,150,Improve deficient nutrients.
25.73,34.93,57,6.39,0.92,1.11,329,37,281,10.43,1.21,6.02,Loamy,Tomato,91,Excellent,Compost,500,Maintain soil organic matter.
31.89,78.55,40,5.88,0.68,0.86,212,32,175,22.13,1.21,6.65,Loamy,Tomato,71,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
34.35,43.72,66,6.47,0.41,1.05,304,34,190,28.6,1.37,6.43,Silty,Sugarcane,89,Excellent,Compost,500,Maintain soil organic matter.
24.1,73.81,39,8.86,2.92,0.46,98,18,117,14.26,2.22,4.58,Loamy,Cotton,20,Poor,MOP,150,Improve deficient nutrients.
18.2,48.75,19,4.63,1.64,0.48,41,9,50,27.22,1.25,6.26,Silty,Tomato,28,Poor,NPK 10-26-26,150,Improve deficient nutrients.
32.61,87.39,22,4.58,2.84,0.37,61,16,71,14.54,1.08,5.1,Sandy,Potato,54,Poor,DAP,150,Improve deficient nutrients.
28.2,50.94,38,5.05,2.79,0.24,152,11,117,21.31,1.02,9.62,Sandy,Cotton,26,Poor,Urea,150,Improve deficient nutrients.
28.01,82.21,48,6.28,0.94,0.64,300,31,220,24.49,1.16,3.44,Sandy,Potato,66,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
27.27,31.65,46,7.49,1.05,0.68,182,21,161,23.54,2.3,3.94,Red,Sugarcane,69,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
28.74,70.69,36,8.72,2.99,0.15,52,18,71,7.97,0.74,2.15,Clay,Potato,56,Poor,MOP,150,Improve deficient nutrients.
36.27,78.21,37,6.72,0.73,0.9,213,20,146,12.17,1.76,8.21,Red,Tomato,75,Healthy,DAP,100,Correct moderate nutrient imbalance.
37.81,66.03,41,7.39,1.16,0.6,270,15,132,19.72,1.43,4.43,Loamy,Maize,63,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
18.2,50.76,64,6.5,1.0,1.2,405,49,313,28.51,1.42,9.67,Silty,Soybean,96,Excellent,Compost,500,Maintain soil organic matter.
32.24,86.89,31,4.79,2.02,0.22,120,13,43,8.65,0.21,6.07,Sandy,Tomato,46,Poor,Urea,150,Improve deficient nutrients.
28.3,50.14,17,5.12,2.09,0.35,53,17,41,6.89,2.21,2.68,Black,Millet,22,Poor,Vermicompost,150,Improve deficient nutrients.
35.62,52.64,51,6.78,1.07,0.74,189,20,131,9.05,1.86,5.4,Clay,Soybean,64,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
38.87,65.87,46,6.35,0.93,0.89,254,27,150,17.44,1.97,3.04,Clay,Potato,76,Healthy,DAP,100,Correct moderate nutrient imbalance.
22.49,39.61,18,8.23,2.77,0.36,109,11,75,14.55,0.25,6.43,Laterite,Soybean,27,Poor,MOP,150,Improve deficient nutrients.
19.78,89.44,68,7.16,0.69,1.02,332,34,284,16.43,1.63,7.53,Clay,Millet,84,Excellent,Compost,500,Maintain soil organic matter.
34.77,61.74,40,8.02,2.76,0.24,175,7,50,14.89,2.04,8.32,Black,Tomato,30,Poor,Urea,150,Improve deficient nutrients.
37.0,58.88,20,8.41,1.55,0.4,147,11,88,6.49,0.54,7.49,Red,Sugarcane,44,Poor,Urea,150,Improve deficient nutrients.
21.16,81.75,38,5.11,1.72,0.11,167,6,45,10.73,1.91,4.67,Sandy,Rice,48,Poor,Urea,150,Improve deficient nutrients.
37.61,75.36,23,5.18,2.29,0.18,106,8,120,13.74,1.62,8.62,Black,Soybean,46,Poor,Vermicompost,150,Improve deficient nutrients.
20.97,47.25,67,6.37,0.25,1.0,372,52,202,10.65,0.81,7.23,Sandy,Wheat,85,Excellent,Compost,500,Maintain soil organic matter.
26.6,67.36,21,8.99,2.69,0.11,96,17,65,19.54,0.82,8.43,Silty,Soybean,37,Poor,Urea,150,Improve deficient nutrients.
22.97,73.44,19,8.21,2.59,0.35,156,5,82,7.62,1.07,5.23,Black,Cotton,27,Poor,MOP,150,Improve deficient nutrients.
35.1,56.3,37,5.8,0.91,0.54,219,29,198,12.35,1.41,3.75,Laterite,Cotton,75,Healthy,DAP,100,Correct moderate nutrient imbalance.
21.1,47.97,43,6.69,1.31,0.67,188,25,211,12.76,2.38,2.77,Clay,Sugarcane,77,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
34.98,77.4,40,7.45,1.46,0.64,287,18,131,28.82,2.45,4.87,Clay,Sugarcane,62,Healthy,DAP,100,Correct moderate nutrient imbalance.
38.37,74.35,16,4.76,2.01,0.43,131,16,46,22.15,0.74,7.17,Sandy,Groundnut,41,Poor,Vermicompost,150,Improve deficient nutrients.
30.2,49.19,49,6.39,0.88,1.35,369,48,261,14.67,1.55,2.43,Clay,Sugarcane,92,Excellent,Compost,500,Maintain soil organic matter.
30.29,54.48,53,6.93,0.51,1.01,390,51,291,25.52,1.42,7.83,Sandy,Potato,87,Excellent,Compost,500,Maintain soil organic matter.
38.37,83.47,52,7.68,1.27,0.61,229,28,220,9.02,1.86,6.5,Laterite,Wheat,62,Healthy,DAP,100,Correct moderate nutrient imbalance.
23.22,80.6,58,6.3,0.84,0.87,248,25,133,28.96,2.41,3.96,Clay,Groundnut,71,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
29.24,74.47,46,7.29,1.13,0.54,251,23,191,29.82,1.77,8.88,Red,Maize,72,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
34.25,58.77,45,6.04,0.83,0.58,222,34,210,20.85,0.77,3.17,Sandy,Maize,78,Healthy,DAP,100,Correct moderate nutrient imbalance.
34.26,59.07,56,5.96,1.42,0.79,200,17,129,17.65,2.29,7.51,Loamy,Soybean,63,Healthy,DAP,100,Correct moderate nutrient imbalance.
28.14,49.73,47,6.42,0.91,0.98,318,39,187,11.35,2.15,5.81,Loamy,Groundnut,99,Excellent,Compost,500,Maintain soil organic matter.
37.08,41.02,37,6.55,0.95,0.51,296,30,159,26.36,1.19,3.41,Clay,Groundnut,74,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
19.62,38.63,36,6.79,0.59,0.68,284,25,212,28.69,2.06,3.91,Silty,Millet,60,Healthy,DAP,100,Correct moderate nutrient imbalance.
20.11,45.31,30,4.56,1.85,0.47,121,17,86,25.22,0.82,4.89,Black,Wheat,41,Poor,NPK 10-26-26,150,Improve deficient nutrients.
38.01,83.82,53,5.85,1.32,0.75,202,24,162,10.0,0.99,6.96,Silty,Groundnut,60,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
18.97,40.75,40,4.77,2.87,0.14,122,6,77,20.45,0.86,8.27,Loamy,Sugarcane,34,Poor,MOP,150,Improve deficient nutrients.
20.3,75.43,37,6.4,0.77,0.78,256,33,122,27.93,0.55,4.63,Sandy,Millet,77,Healthy,DAP,100,Correct moderate nutrient imbalance.
29.8,88.42,56,7.15,1.32,0.86,278,17,161,14.22,1.7,5.71,Laterite,Millet,63,Healthy,DAP,100,Correct moderate nutrient imbalance.
34.87,76.94,48,7.78,0.52,0.63,264,20,178,8.87,2.05,6.47,Red,Groundnut,66,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
31.21,62.89,31,8.73,2.97,0.25,134,5,88,19.62,1.91,3.85,Clay,Groundnut,46,Poor,NPK 10-26-26,150,Improve deficient nutrients.
27.13,57.63,70,6.55,0.76,1.32,395,56,185,23.4,0.63,3.98,Black,Tomato,95,Excellent,Compost,500,Maintain soil organic matter.
20.02,51.31,49,6.36,0.52,1.36,323,56,264,26.38,0.25,9.25,Loamy,Rice,90,Excellent,Compost,500,Maintain soil organic matter.
35.04,65.59,57,6.65,0.89,1.23,354,56,198,20.43,2.13,4.08,Sandy,Cotton,89,Excellent,Compost,500,Maintain soil organic matter.
23.74,65.79,38,7.74,1.48,0.75,227,28,206,10.56,1.84,6.97,Loamy,Millet,74,Healthy,DAP,100,Correct moderate nutrient imbalance.
28.93,81.17,35,4.84,1.8,0.34,176,10,104,20.66,2.05,4.54,Silty,Wheat,41,Poor,DAP,150,Improve deficient nutrients.
19.62,94.53,66,6.22,0.29,0.94,390,37,249,12.07,0.81,7.4,Red,Cotton,81,Excellent,Compost,500,Maintain soil organic matter.
29.86,88.38,42,7.32,1.18,0.81,194,32,128,12.82,2.28,9.35,Clay,Maize,70,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
35.6,91.42,59,6.74,0.66,1.49,377,47,275,25.67,1.91,2.29,Laterite,Rice,87,Excellent,Compost,500,Maintain soil organic matter.
19.61,63.73,50,6.15,1.29,0.7,217,19,157,19.74,1.9,8.5,Black,Wheat,73,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
38.23,39.4,35,5.81,0.88,0.64,248,30,148,18.64,2.12,5.48,Black,Potato,75,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
35.77,88.23,40,7.18,0.69,0.59,300,20,157,23.42,1.17,3.94,Laterite,Wheat,79,Healthy,DAP,100,Correct moderate nutrient imbalance.
25.19,77.5,24,8.47,2.62,0.22,135,18,87,6.42,1.18,3.85,Black,Soybean,41,Poor,MOP,150,Improve deficient nutrients.
24.65,41.54,46,7.55,1.49,0.75,259,15,203,17.04,0.25,5.13,Sandy,Maize,70,Healthy,DAP,100,Correct moderate nutrient imbalance.
28.47,69.7,33,5.18,1.66,0.19,98,10,60,26.74,1.32,7.59,Laterite,Potato,47,Poor,MOP,150,Improve deficient nutrients.
34.88,44.54,18,5.26,2.65,0.35,137,17,71,9.26,1.07,2.35,Loamy,Potato,35,Poor,DAP,150,Improve deficient nutrients.
24.54,73.25,66,6.86,0.28,1.29,398,32,245,15.49,0.78,9.76,Laterite,Wheat,84,Excellent,Compost,500,Maintain soil organic matter.
30.62,87.82,63,6.42,0.68,0.85,281,32,239,14.24,1.43,2.54,Loamy,Millet,84,Excellent,Compost,500,Maintain soil organic matter.
21.02,39.51,17,4.57,1.54,0.19,96,5,96,18.68,0.7,2.94,Red,Cotton,24,Poor,NPK 10-26-26,150,Improve deficient nutrients.
28.1,58.28,18,8.41,2.07,0.38,161,6,56,22.62,0.54,7.98,Loamy,Rice,29,Poor,Vermicompost,150,Improve deficient nutrients.
38.5,32.83,34,8.87,1.79,0.13,49,14,69,19.94,0.72,8.39,Black,Sugarcane,41,Poor,DAP,150,Improve deficient nutrients.
26.4,33.07,67,6.47,0.52,0.82,381,26,250,27.61,0.71,6.34,Clay,Potato,82,Excellent,Compost,500,Maintain soil organic matter.
38.11,63.86,43,6.77,1.16,0.84,241,31,205,6.71,1.04,9.31,Silty,Cotton,73,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
19.19,88.34,41,7.69,0.91,0.61,242,35,184,9.2,1.66,4.12,Silty,Millet,67,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
27.92,55.63,46,6.82,1.38,0.81,297,15,155,23.51,1.69,9.09,Silty,Tomato,69,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
21.84,40.25,33,4.68,2.02,0.28,51,8,83,22.39,1.95,8.43,Red,Rice,40,Poor,DAP,150,Improve deficient nutrients.
27.97,40.77,57,7.13,0.63,1.21,282,36,278,8.54,0.59,6.98,Clay,Groundnut,95,Excellent,Compost,500,Maintain soil organic matter.
23.7,71.47,15,8.92,2.99,0.12,62,13,92,17.4,0.79,7.12,Loamy,Potato,53,Poor,Vermicompost,150,Improve deficient nutrients.
19.73,36.09,30,5.41,1.77,0.36,137,10,66,6.93,1.6,9.11,Sandy,Maize,45,Poor,Urea,150,Improve deficient nutrients.
23.33,55.91,27,8.83,2.16,0.42,106,6,74,11.52,0.35,2.55,Red,Millet,41,Poor,Vermicompost,150,Improve deficient nutrients.
28.6,52.71,51,5.97,1.24,0.8,251,24,166,22.17,0.89,2.2,Black,Potato,62,Healthy,DAP,100,Correct moderate nutrient imbalance.
29.66,39.72,42,7.38,1.38,0.69,273,30,173,24.44,0.5,4.69,Loamy,Potato,64,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
38.62,80.29,40,8.45,2.89,0.41,119,8,50,27.47,1.22,9.64,Clay,Wheat,58,Poor,MOP,150,Improve deficient nutrients.
26.61,60.77,18,5.3,1.68,0.36,131,7,96,9.19,0.93,6.35,Loamy,Groundnut,46,Poor,Urea,150,Improve deficient nutrients.
19.6,32.84,23,4.69,2.82,0.49,180,16,116,17.92,1.92,2.54,Silty,Soybean,25,Poor,NPK 10-26-26,150,Improve deficient nutrients.
30.73,32.6,56,7.15,0.85,0.67,182,29,219,22.84,1.06,4.85,Laterite,Wheat,64,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
22.54,71.09,55,6.23,0.31,0.93,338,53,320,18.59,2.07,9.86,Silty,Potato,97,Excellent,Compost,500,Maintain soil organic matter.
39.81,38.21,30,5.29,2.55,0.12,178,7,109,29.27,0.46,8.7,Sandy,Wheat,26,Poor,MOP,150,Improve deficient nutrients.
25.58,64.88,36,6.67,0.72,0.59,208,33,170,13.31,0.47,4.99,Loamy,Groundnut,69,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
31.08,41.54,22,4.86,2.03,0.18,48,11,112,5.07,2.4,6.9,Clay,Wheat,50,Poor,Urea,150,Improve deficient nutrients.
36.26,73.95,43,6.75,0.62,0.54,278,20,186,10.26,2.13,9.44,Black,Groundnut,66,Healthy,DAP,100,Correct moderate nutrient imbalance.
19.28,71.6,48,6.95,0.75,0.8,233,32,144,19.69,2.35,6.87,Red,Potato,72,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
22.65,31.86,63,6.47,0.22,1.09,338,54,314,21.01,0.6,3.85,Silty,Groundnut,88,Excellent,Compost,500,Maintain soil organic matter.
38.39,51.25,58,6.65,0.68,0.84,300,36,259,6.7,1.83,5.26,Silty,Maize,86,Excellent,Compost,500,Maintain soil organic matter.
36.36,77.62,65,6.99,0.25,0.86,338,37,251,9.87,1.99,2.71,Sandy,Cotton,92,Excellent,Compost,500,Maintain soil organic matter.
25.63,37.56,57,6.09,1.45,0.73,219,24,130,28.2,1.08,9.72,Clay,Cotton,68,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
37.01,78.9,18,5.3,1.91,0.19,93,11,51,28.91,0.87,8.34,Sandy,Maize,32,Poor,Vermicompost,150,Improve deficient nutrients.
22.59,77.91,48,6.94,0.38,0.89,326,33,231,7.89,1.69,2.73,Silty,Tomato,83,Excellent,Compost,500,Maintain soil organic matter.
39.1,40.94,38,6.04,0.59,0.83,248,25,124,18.71,1.0,2.09,Sandy,Potato,66,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
32.07,35.59,33,4.57,2.83,0.21,40,10,106,7.61,2.32,6.24,Black,Maize,23,Poor,Urea,150,Improve deficient nutrients.
19.38,37.63,57,6.36,0.46,1.41,303,39,311,12.97,1.63,9.8,Silty,Groundnut,92,Excellent,Compost,500,Maintain soil organic matter.
23.54,31.7,31,5.09,1.89,0.26,106,7,43,15.62,1.71,4.73,Clay,Soybean,43,Poor,Urea,150,Improve deficient nutrients.
38.61,84.38,49,6.08,1.38,0.65,193,19,200,28.31,0.34,3.56,Black,Maize,75,Healthy,DAP,100,Correct moderate nutrient imbalance.
30.42,60.35,47,7.0,0.32,1.41,395,26,251,9.55,0.61,8.8,Red,Sugarcane,91,Excellent,Compost,500,Maintain soil organic matter.
31.07,61.99,59,6.37,0.24,1.11,389,42,285,14.77,1.68,6.54,Laterite,Groundnut,83,Excellent,Compost,500,Maintain soil organic matter.
38.47,74.17,40,8.26,2.65,0.42,174,6,76,16.78,1.1,5.84,Laterite,Wheat,52,Poor,Urea,150,Improve deficient nutrients.
39.46,46.17,25,8.75,2.62,0.28,100,8,109,8.11,0.95,4.46,Red,Soybean,27,Poor,DAP,150,Improve deficient nutrients.
25.26,34.67,63,6.49,0.84,1.0,329,49,280,13.46,1.13,7.81,Loamy,Groundnut,93,Excellent,Compost,500,Maintain soil organic matter.
37.59,81.14,56,6.34,0.44,0.84,345,52,182,29.29,1.07,9.59,Silty,Sugarcane,90,Excellent,Compost,500,Maintain soil organic matter.
27.77,80.39,56,6.23,0.66,0.88,368,25,193,29.76,0.27,8.94,Black,Rice,100,Excellent,Compost,500,Maintain soil organic matter.
36.52,55.76,52,5.93,0.81,0.58,265,25,203,26.72,0.34,9.64,Loamy,Rice,66,Healthy,DAP,100,Correct moderate nutrient imbalance.
20.14,50.57,50,7.13,0.99,0.53,210,16,140,22.08,1.49,8.24,Loamy,Sugarcane,72,Healthy,DAP,100,Correct moderate nutrient imbalance.
20.5,68.52,50,7.5,0.91,0.62,275,28,156,5.3,0.3,4.06,Clay,Potato,69,Healthy,DAP,100,Correct moderate nutrient imbalance.
39.18,62.89,27,5.37,2.12,0.22,81,17,70,18.0,0.8,4.03,Silty,Wheat,24,Poor,NPK 10-26-26,150,Improve deficient nutrients.
34.26,83.13,47,7.57,1.03,0.59,266,28,146,25.31,1.82,5.93,Silty,Soybean,76,Healthy,DAP,100,Correct moderate nutrient imbalance.
19.49,58.34,50,7.69,0.79,0.83,252,33,170,13.35,2.24,9.58,Laterite,Tomato,74,Healthy,DAP,100,Correct moderate nutrient imbalance.
19.87,80.45,58,7.19,0.72,1.2,329,34,294,20.97,1.75,9.62,Laterite,Maize,83,Excellent,Compost,500,Maintain soil organic matter.
18.67,33.08,54,7.1,0.53,1.3,339,32,271,6.74,2.2,9.26,Clay,Tomato,82,Excellent,Compost,500,Maintain soil organic matter.
26.74,38.45,39,7.56,1.21,0.72,222,27,191,20.58,1.5,4.07,Sandy,Maize,64,Healthy,DAP,100,Correct moderate nutrient imbalance.
34.68,44.79,54,6.17,0.58,0.84,234,15,142,20.78,1.56,8.07,Black,Tomato,67,Healthy,DAP,100,Correct moderate nutrient imbalance.
18.79,82.51,25,4.69,2.0,0.49,135,14,102,25.22,1.4,2.56,Loamy,Groundnut,36,Poor,DAP,150,Improve deficient nutrients.
37.7,52.85,63,6.33,0.25,0.85,383,28,308,7.85,0.76,7.25,Sandy,Millet,86,Excellent,Compost,500,Maintain soil organic matter.
19.8,44.21,36,6.79,1.26,0.84,211,27,163,13.87,0.3,9.51,Laterite,Millet,74,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
33.64,69.72,58,6.55,0.36,1.44,295,57,214,14.73,1.75,5.63,Clay,Rice,84,Excellent,Compost,500,Maintain soil organic matter.
32.23,42.15,52,6.66,0.34,1.0,293,36,183,16.31,1.37,5.86,Sandy,Groundnut,96,Excellent,Compost,500,Maintain soil organic matter.
23.3,88.12,16,5.47,1.7,0.13,95,10,112,16.77,2.08,9.25,Red,Wheat,27,Poor,Urea,150,Improve deficient nutrients.
25.68,54.56,58,7.18,1.1,0.51,272,18,121,18.38,2.01,9.68,Loamy,Soybean,70,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
23.44,59.05,37,6.29,0.98,0.6,225,32,214,27.87,1.84,9.67,Black,Cotton,76,Healthy,DAP,100,Correct moderate nutrient imbalance.
25.77,62.23,64,6.41,0.94,0.95,364,28,263,21.52,0.99,9.83,Clay,Soybean,87,Excellent,Compost,500,Maintain soil organic matter.
35.15,90.93,38,6.42,0.93,0.64,286,30,196,11.89,1.66,4.44,Black,Millet,70,Healthy,DAP,100,Correct moderate nutrient imbalance.
19.86,61.66,46,6.3,0.46,1.24,408,53,217,5.18,1.42,6.27,Laterite,Potato,85,Excellent,Compost,500,Maintain soil organic matter.
34.72,83.23,51,6.24,0.51,0.58,267,35,162,25.0,1.25,8.56,Silty,Tomato,67,Healthy,DAP,100,Correct moderate nutrient imbalance.
23.07,64.51,19,5.36,2.83,0.39,57,10,107,7.46,1.09,8.13,Clay,Groundnut,39,Poor,MOP,150,Improve deficient nutrients.
24.02,90.61,53,6.74,0.22,0.87,376,51,237,16.65,2.14,5.75,Silty,Millet,81,Excellent,Compost,500,Maintain soil organic matter.
33.45,42.18,48,7.39,1.15,0.82,226,19,162,21.78,1.14,7.4,Sandy,Wheat,77,Healthy,DAP,100,Correct moderate nutrient imbalance.
27.09,81.25,70,6.78,0.32,1.32,417,45,310,14.24,1.04,4.83,Black,Sugarcane,97,Excellent,Compost,500,Maintain soil organic matter.
20.44,54.07,39,7.05,0.86,0.62,233,27,214,23.06,0.67,6.96,Clay,Rice,67,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
32.18,43.64,22,8.03,2.78,0.22,99,5,87,15.22,0.36,5.08,Sandy,Soybean,38,Poor,DAP,150,Improve deficient nutrients.
36.54,36.14,29,5.12,2.43,0.35,159,6,60,13.44,1.87,4.07,Silty,Tomato,56,Poor,Vermicompost,150,Improve deficient nutrients.
23.92,44.41,55,6.17,0.73,0.58,218,21,184,23.85,1.71,2.42,Silty,Potato,62,Healthy,DAP,100,Correct moderate nutrient imbalance.
32.66,43.5,33,8.08,1.74,0.44,47,17,52,27.94,0.21,2.36,Loamy,Rice,52,Poor,Urea,150,Improve deficient nutrients.
30.88,64.2,26,8.17,1.66,0.28,160,18,84,20.21,2.25,2.06,Sandy,Soybean,22,Poor,NPK 10-26-26,150,Improve deficient nutrients.
24.08,88.02,53,6.3,0.48,0.85,391,29,201,15.47,1.29,3.62,Black,Rice,96,Excellent,Compost,500,Maintain soil organic matter.
33.05,89.05,37,8.34,2.79,0.39,119,17,93,22.59,0.61,8.85,Laterite,Soybean,29,Poor,NPK 10-26-26,150,Improve deficient nutrients.
33.17,81.6,70,6.96,0.58,1.3,342,60,233,20.78,1.31,7.13,Laterite,Wheat,84,Excellent,Compost,500,Maintain soil organic matter.
34.25,71.84,66,7.14,0.32,0.9,288,55,273,14.57,1.43,3.47,Black,Potato,86,Excellent,Compost,500,Maintain soil organic matter.
35.1,50.98,34,5.03,2.84,0.19,78,8,58,6.56,1.76,9.69,Laterite,Tomato,37,Poor,Vermicompost,150,Improve deficient nutrients.
37.6,79.25,45,6.92,0.96,1.47,311,38,261,20.99,0.8,4.86,Loamy,Wheat,96,Excellent,Compost,500,Maintain soil organic matter.
36.69,84.72,15,5.33,1.88,0.44,46,10,92,11.87,0.71,5.62,Silty,Cotton,28,Poor,Vermicompost,150,Improve deficient nutrients.
31.53,53.16,20,8.2,1.71,0.25,149,11,78,10.42,1.23,8.03,Clay,Potato,20,Poor,MOP,150,Improve deficient nutrients.
21.98,66.44,51,6.37,1.0,1.27,319,58,248,28.76,0.69,8.68,Red,Rice,98,Excellent,Compost,500,Maintain soil organic matter.
34.55,70.69,41,7.4,1.31,0.5,182,17,142,5.68,0.78,4.69,Loamy,Rice,76,Healthy,DAP,100,Correct moderate nutrient imbalance.
20.88,46.91,61,6.67,0.78,0.99,334,50,259,19.09,0.91,4.73,Silty,Cotton,92,Excellent,Compost,500,Maintain soil organic matter.
28.62,50.08,20,5.42,1.66,0.2,176,18,116,17.43,2.1,6.93,Sandy,Soybean,28,Poor,NPK 10-26-26,150,Improve deficient nutrients.
21.06,42.02,54,5.99,1.38,0.56,271,35,139,25.76,2.34,2.59,Loamy,Wheat,66,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
30.53,70.04,66,6.41,0.83,0.81,409,50,311,10.12,2.04,3.99,Laterite,Wheat,83,Excellent,Compost,500,Maintain soil organic matter.
